barman,m
boatman,n
businessman,m
cameraman,n
chairman,n
congressman,n
councilman,n
draughtsman,n
fisherman,n
foreman,m
handyman,n
landlord,m
marksman,n
masseur,n
patrolman,n
policeman,m
salesman,m
seaman,n
serviceman,m
sportsman,m
statesman,n
steward,n
stuntman,n
trainman,n
usher,n
waiter,m
actress,f
ballerina,f
matron,f
barmaid,f
businesswoman,f
chairwoman,f
chambermaid,f
congresswoman,f
forewoman,f
housewife,f
landlady,f
maid,f
masseuse,f
midwife,n
mistress,f
nanny,n
policewoman,f
sportswoman,f
stewardess,f
stuntwoman,f
usherette,f
waitress,f
accountant,n
actor,n
administrator,n
adventurer,n
adviser,n
advocate,n
agent,n
aide,n
ambassador,n
analyst,n
animator,n
announcer,n
anthropologist,n
apprentice,n
archaeologist,n
archeologist,n
architect,n
archivist,n
artist,n
artiste,n
assassin,n
assessor,n
assistant,n
astrologer,n
astronaut,n
astronomer,n
athlete,n
attendant,n
attorney,n
auctioneer,n
auditor,n
author,n
bailiff,n
baker,n
ballplayer,n
banker,n
barber,n
bargee,n
baron,n
barrister,n
bartender,n
basketmaker,n
beautician,n
beekeeper,n
bibliographer,n
biochemist,n
biologist,n
biotechnologist,n
blacksmith,n
bodyguard,n
boilerfitter,n
boilermaker,n
bookbinder,n
bookkeeper,n
bookmaker,n
bootmaker,n
boss,n
botanist,n
boxer,n
breeder,n
brewer,n
bricklayer,n
broadcaster,n
broker,n
bureaucrat,n
butcher,n
butler,n
buyer,n
cabbie,n
cabinetmaker,n
campaigner,n
captain,n
cardiologist,n
caretaker,n
carpenter,n
cartographer,n
cartoonist,n
cashier,n
cellist,n
ceo,n
ceramicist,n
chancellor,n
chaplain,n
character,n
chef,n
chemist,n
chief,n
chiropractor,n
choreographer,n
cinematographer,n
citizen,n
cleaner,n
clergy,n
cleric,n
clerical,n
clerk,n
coach,n
collector,n
colonel,n
columnist,n
comedian,n
comic,n
commander,n
commentator,n
commissioner,n
composer,n
compositor,n
concreter,n
conductor,n
confectioner,n
confesses,n
conservationist,n
conservator,n
constable,n
consultant,n
cook,n
cooper,n
cop,n
coremaker,n
correspondent,n
councilor,n
counsellor,n
counselor,n
courtier,n
critic,n
crooner,n
croupier,n
crusader,n
crusher,n
curator,n
custodian,n
cutler,n
dancer,n
dean,n
decorator,n
dentist,n
deputy,n
dermatologist,n
designer,n
detective,n
developer,n
dietician,n
dietitian,n
digger,n
diplomat,n
director,n
dispatcher,n
diver,n
doctor,n
doorkeeper,n
draughtsperson,n
dresser,n
dressmaker,n
driller,n
driver,n
drummer,n
drycleaner,n
dyer,n
ecologist,n
economist,n
editor,n
educator,n
electrician,n
embroiderer,n
employee,n
engineer,n
engraver,n
entertainer,n
entrepreneur,n
environmentalist,n
envoy,n
epidemiologist,n
ergonomist,n
ethnographer,n
evangelist,n
expert,n
farmer,n
farrier,n
filmmaker,n
financier,n
firebrand,n
firefighter,n
fitter,n
footballer,n
furrier,n
gangster,n
gardener,n
geneticist,n
geographer,n
geologist,n
geophysicist,n
gilder,n
glassmaker,n
glazier,n
goalkeeper,n
goatherd,n
goldsmith,n
gravedigger,n
grinder,n
guard,n
guide,n
guitarist,n
gunsmith,n
hairdresser,n
handler,n
hardener,n
harpooner,n
hatter,n
headmaster,n
healer,n
herbalist,n
historian,n
homemaker,n
hooker,n
housekeeper,n
hydrologist,n
illustrator,n
industrialist,n
infielder,n
inspector,n
instructor,n
insulator,n
interpreter,n
inventor,n
investigator,n
janitor,n
jeweler,n
jeweller,n
joiner,n
journalist,n
judge,n
jurist,n
keeper,n
knitter,n
laborer,n
labourer,n
lacemaker,n
lawmaker,n
lawyer,n
lecturer,n
legislator,n
librarian,n
lieutenant,n
lifeguard,n
lithographer,n
lumberjack,n
lyricist,n
machinist,n
maestro,n
magician,n
magistrate,n
maltster,n
manager,n
manicurist,n
marshal,n
mason,n
master,n
mathematician,n
mechanic,n
mechanician,n
mediator,n
medic,n
melter,n
merchandiser,n
metallurgist,n
metalworker,n
meteorologist,n
metrologist,n
microbiologist,n
midfielder,n
miller,n
millwright,n
miner,n
minister,n
missionary,n
mobster,n
model,n
modeller,n
mover,n
musician,n
musicologist,n
narrator,n
naturalist,n
negotiator,n
neurologist,n
neurosurgeon,n
novelist,n
nurse,n
nutritionist,n
observer,n
obstetrician,n
officer,n
official,n
operator,n
optician,n
optometrist,n
organiser,n
organist,n
orthotist,n
owner,n
packer,n
paediatrician,n
painter,n
palmists,n
paperhanger,n
paralegal,n
paramedic,n
parishioner,n
parliamentarian,n
pastor,n
pathologist,n
patternmaker,n
paver,n
pawnbroker,n
pediatrician,n
pedicurist,n
performer,n
pharmacist,n
philanthropist,n
philosopher,n
photographer,n
photojournalist,n
physician,n
physicist,n
physiotherapist,n
pianist,n
pilot,n
planner,n
plasterer,n
playwright,n
plumber,n
poet,n
police,n
politician,n
pollster,n
porter,n
potter,n
poulterer,n
preacher,n
president,n
priest,n
principal,n
prisoner,n
producer,n
professor,n
programmer,n
projectionist,n
promoter,n
prompter,n
proprietor,n
prosecutor,n
prosthetist,n
protagonist,n
protege,n
protester,n
provost,n
psychiatrist,n
psychologist,n
psychotherapist,n
publicist,n
publisher,n
pundit,n
radiographer,n
radiologist,n
radiotherapist,n
ranger,n
realtor,n
receptionist,n
referee,n
refiner,n
registrar,n
repairer,n
reporter,n
representative,n
rescuer,n
researcher,n
restaurateur,n
retoucher,n
rigger,n
roaster,n
roofer,n
sailor,n
saint,n
sales,n
salesperson,n
sausagemaker,n
saxophonist,n
scaffolder,n
scholar,n
scientist,n
screenwriter,n
scriptwriter,n
sculptor,n
secretary,n
senator,n
sergeant,n
servant,n
setter,n
sewer,n
shepherd,n
sheriff,n
shoemaker,n
shopkeeper,n
shunter,n
singer,n
skipper,n
smith,n
socialite,n
sociologist,n
soldier,n
solicitor,n
soloist,n
songwriter,n
specialist,n
spinner,n
sportswriter,n
staff,n
statistician,n
steelworker,n
steeplejack,n
stockbroker,n
stonecutter,n
stonemason,n
storekeeper,n
strategist,n
student,n
stylist,n
substitute,n
superintendent,n
supervisor,n
surgeon,n
surveyor,n
sweep,n
swimmer,n
tailor,n
tamer,n
tanner,n
tannery,n
teacher,n
technician,n
technologist,n
telecaster,n
teller,n
therapist,n
tinsmith,n
toolmaker,n
tracklayer,n
trader,n
trainer,n
translator,n
traveller,n
treasurer,n
trooper,n
trucker,n
trumpeter,n
tuner,n
turner,n
tutor,n
tycoon,n
typesetter,n
tyrefitter,n
undersecretary,n
understudy,n
upholsterer,n
valedictorian,n
valuer,n
varnisher,n
vendor,n
veterinarian,n
viniculturist,n
violinist,n
vocalist,n
warden,n
warrior,n
washer,n
weaver,n
weigher,n
welder,n
whaler,n
wigmaker,n
worker,n
wrestler,n
writer,n
zookeeper,n
