gods,goddesses
nephew,niece
baron,baroness
father,mother
dukes,duchesses
dad,mom
beau,belle
beaus,belles
daddies,mummies
grandfather,grandmother
stepson,stepdaughter
men,women
son-in-law,daughter-in-law
son,daughter
grooms,brides
gentleman,lady
king,queen
daddy,mummy
sir,madam
lad,lass
grandson,granddaughter
dads,moms
stepfathers,stepmothers
stepsons,stepdaughters
boyfriend,girlfriend
males,females
grandfathers,grandmothers
step-son,step-daughter
nephews,nieces
husband,wife
fathers,mothers
husbands,wives
boy,girl
bachelor,spinster
duke,duchess
sirs,madams
papas,mamas
heir,heiress
uncle,aunt
fiance,fiancee
mr,mrs
lords,ladies
father-in-law,mother-in-law
heroes,heroines
groom,bride
sons-in-law,daughters-in-law
fiances,fiancees
uncles,aunts
lads,lasses
brother,sister
hero,heroine
god,goddess
grandpa,grandma
grandpas,grandmas
heirs,heiresses
male,female
widower,widow
grandsons,granddaughters
boys,girls
he,she
step-father,step-mother
stepfather,stepmother
widowers,widows
mr.,mrs.
brothers,sisters
papa,mama
man,woman
sons,daughters
boyfriends,girlfriends
his,her
him,her
himself,herself
